                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6192,                 4.0033,                 1.5154,                0.00655,                    0.5,                0.04016,                0.01281,                 1.9563,                  4.306,                  2.318,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 1.5655,                 3.9453,                 1.5242,                0.00172,                    0.5,                0.03951,                0.01234,                  1.523,                 4.2159,                 1.9406,             8.5768e-05,             8.5768e-05,             8.5768e-05
                      3,                 1.6318,                 4.3536,                 1.6261,                0.00172,                    0.5,                0.04658,                0.01908,                 1.4184,                  4.073,                 1.8867,             0.00013205,             0.00013205,             0.00013205
                      4,                 1.1559,                 3.8243,                 1.2627,                0.00493,                0.61111,                0.09557,                0.05119,                 1.2382,                 4.1683,                 1.7472,             0.00017636,             0.00017636,             0.00017636
                      5,                 1.2752,                 4.2285,                 1.4216,                0.00573,                0.61111,                0.15844,                0.06447,                 1.2263,                 4.0758,                 1.7143,             0.00021869,             0.00021869,             0.00021869
                      6,                 1.0421,                 3.7007,                 1.2037,                0.00583,                0.61111,                0.17703,                0.07632,                 1.2513,                 4.1078,                 1.7531,             0.00025904,             0.00025904,             0.00025904
                      7,                 1.0377,                 3.9373,                 1.2196,                0.00577,                0.72222,                0.44437,                0.17681,                 1.1998,                 4.1435,                 1.7205,              0.0002974,              0.0002974,              0.0002974
                      8,                 1.1693,                 3.5546,                 1.3027,                0.00559,                0.72222,                0.42087,                0.17112,                  1.156,                 4.2165,                 1.6556,             0.00033379,             0.00033379,             0.00033379
                      9,                  1.025,                 3.6685,                 1.1421,                0.00518,                0.72222,                0.41407,                0.17418,                  1.155,                 4.2949,                  1.666,              0.0003682,              0.0003682,              0.0003682
                     10,                 1.2029,                 3.5968,                 1.4313,                0.00474,                0.72222,                0.44907,                 0.1663,                 1.1186,                 4.2867,                  1.672,             0.00040063,             0.00040063,             0.00040063
                     11,                 1.3819,                 5.0034,                 1.4251,                0.00457,                0.72222,                0.38772,                 0.1622,                 1.2576,                 4.2204,                 1.8034,             0.00043108,             0.00043108,             0.00043108
                     12,                 1.1567,                 3.2758,                 1.2602,                0.00447,                0.72222,                0.39603,                0.16485,                 1.1015,                 4.2312,                 1.6874,             0.00045954,             0.00045954,             0.00045954
                     13,                  1.026,                 3.2467,                 1.2302,                0.00452,                0.72222,                0.36058,                0.16427,                 1.1474,                 4.1473,                 1.7767,             0.00048603,             0.00048603,             0.00048603
